signal_date,ticker,action,price,trade_value,trade_units,realized_pnl,post_trade_units,post_trade_cash
2026-05-12,TSLA,HOLD,433.45001220703125,0.0,0.0,0.0,0.0,0.0
2026-05-12,AMD,HOLD,448.2900085449219,0.0,0.0,0.0,0.0,0.0
2026-05-12,GOOGL,HOLD,387.3500061035156,0.0,0.0,0.0,0.0,0.0
2026-05-12,META,HOLD,603.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,NVDA,SELL,220.77999877929688,-13.201760807006837,-0.059796,1.4917608070068347,0.0,13.201760807006837
2026-05-12,ASML,SELL,1520.93994140625,-10.092957451171875,-0.006636,1.092957451171875,0.0,23.294718258178712
2026-05-13,TSLA,HOLD,445.2699890136719,0.0,0.0,0.0,0.0,23.294718258178712
2026-05-13,AMD,HOLD,445.5,0.0,0.0,0.0,0.0,23.294718258178712
2026-05-13,GOOGL,HOLD,402.6199951171875,0.0,0.0,0.0,0.0,23.294718258178712
2026-05-13,META,HOLD,616.6300048828125,0.0,0.0,0.0,0.0,23.294718258178712
2026-05-13,NVDA,HOLD,225.8300018310547,0.0,0.0,0.0,0.0,23.294718258178712
2026-05-13,ASML,HOLD,1581.5799560546875,0.0,0.0,0.0,0.0,23.294718258178712
